customer_id,session_id,visit_date,device_type,user_type,marketing_channel,product_id,product_category,unit_price,quantity,discount_percent,discount_amount,revenue,pages_viewed,time_on_site_sec,added_to_cart,purchased,cart_abandoned,rating,review_text,review_helpful_votes,payment_method,visit_day,visit_month,visit_weekday,visit_season,session_duration_bucket,revenue_normalized,location
1803,0,28-11-2024,2,1,2,894,6,651.57,1,20,130.31,0,21,965,1,0,1,4,1,0,1,28,11,3,0,Long,0,209
7964,1,25-09-2024,2,0,4,844,2,945.27,4,15,567.16,0,21,1158,0,0,0,4,1,0,2,25,9,2,0,Long,0,213
6890,2,31-05-2024,1,1,0,865,0,400.44,4,0,0,0,19,710,1,0,1,4,1,0,2,31,5,4,1,Short,0,10
4949,3,30-01-2024,1,0,2,851,3,1268.54,2,5,126.85,2410.23,19,1674,1,1,0,4,10,4,1,30,1,1,3,Very Long,0.305503869,46
4896,4,25-02-2024,1,1,5,794,3,880.81,3,0,0,0,13,427,1,0,1,4,1,0,1,25,2,6,3,Very Short,0,118
8726,5,29-03-2024,1,0,4,481,3,458.42,2,10,91.68,0,6,949,1,0,1,4,1,0,1,29,3,4,1,Long,0,207
1773,6,28-05-2024,0,1,1,634,0,623.83,4,0,0,2495.32,15,1608,1,1,0,4,3,0,5,28,5,1,1,Very Long,0.316289281,175
7275,7,19-11-2024,1,0,4,225,6,1491.56,3,15,671.2,0,24,1169,0,0,0,4,1,0,4,19,11,1,0,Long,0,150
2813,8,13-02-2024,1,1,3,628,2,791.88,2,0,0,0,18,285,1,0,1,4,1,0,2,13,2,1,3,Very Short,0,141
1847,9,29-07-2024,1,0,4,664,7,164.42,4,10,65.77,0,6,476,1,0,1,4,1,0,1,29,7,0,2,Short,0,103
5737,10,06-05-2024,0,1,2,386,4,318.62,4,10,127.45,0,8,1557,0,0,0,4,1,0,1,6,5,0,1,Very Long,0,84
9779,11,18-01-2024,0,1,0,594,4,103.54,2,20,41.42,0,24,1724,1,0,1,4,1,0,3,18,1,3,3,Very Long,0,145
7621,12,14-08-2024,1,0,4,379,6,373.33,4,5,74.67,0,4,309,0,0,0,4,1,0,5,14,8,2,2,Very Short,0,169
7849,13,14-09-2024,0,0,5,786,7,682.23,1,10,68.22,0,5,1273,0,0,0,4,1,0,4,14,9,5,0,Long,0,155
7456,14,16-12-2024,0,1,0,175,2,837.89,2,25,418.94,0,5,1462,0,0,0,4,1,0,5,16,12,0,3,Very Long,0,167
8073,15,03-07-2024,1,1,3,766,7,1151.07,2,15,345.32,0,16,143,0,0,0,4,1,0,2,3,7,2,2,Very Short,0,135
5618,16,28-04-2024,1,1,2,691,0,693.68,1,0,0,0,10,180,1,0,1,4,1,0,0,28,4,6,1,Very Short,0,85
2152,17,07-11-2024,0,0,3,250,1,481.83,4,0,0,0,19,1019,1,0,1,4,1,0,4,7,11,3,0,Long,0,51
8556,18,31-03-2024,0,1,1,145,7,687.69,1,0,0,0,1,200,1,0,1,4,1,0,3,31,3,6,1,Very Short,0,25
5053,19,06-09-2024,1,0,0,525,3,806.73,3,0,0,0,18,1168,0,0,0,4,1,0,0,6,9,4,0,Long,0,194
5502,20,10-12-2024,2,0,4,842,6,1374.55,4,15,824.73,0,21,1781,1,0,1,4,1,0,2,10,12,1,3,Very Long,0,155
4336,21,02-01-2024,1,1,4,394,1,361.79,4,0,0,0,18,720,1,0,1,4,1,0,2,2,1,1,3,Short,0,197
2642,22,03-12-2024,1,1,5,237,7,557.98,1,15,83.7,0,17,1526,1,0,1,4,1,0,2,3,12,1,3,Very Long,0,145
9339,23,16-03-2024,0,0,2,835,2,799.51,1,10,79.95,719.56,22,943,1,1,0,5,4,16,2,16,3,5,1,Long,0.091206384,88
8033,24,24-06-2024,1,1,2,567,3,853.62,2,20,341.45,0,9,26,1,0,1,4,1,0,4,24,6,0,2,Very Short,0,40
6794,25,04-04-2024,1,0,4,367,7,667.9,1,5,33.4,634.5,8,1454,1,1,0,5,5,8,2,4,4,3,1,Very Long,0.080424775,135
4621,26,22-02-2024,1,0,3,376,0,927.81,2,20,371.12,0,9,1105,1,0,1,4,1,0,3,22,2,3,3,Long,0,136
8404,27,13-09-2024,1,1,0,57,1,161.8,3,10,48.54,0,7,604,0,0,0,4,1,0,3,13,9,4,0,Short,0,36
5908,28,24-06-2024,0,1,3,750,6,1159.83,4,0,0,0,11,1396,1,0,1,4,1,0,4,24,6,0,2,Very Long,0,62
